"","Estimate","Std. Error","z value","Pr(>|z|)","PresScore","Covariate"
"(Intercept)...1",0.884995917977117,1.31260405506667,0.674229151251683,0.500165639033787,1,"(Intercept)"
"`Age (Ma)`...2",-0.0245310382633711,0.005490745047954,-4.46770666806175,7.90626159136433e-06,1,"`Age (Ma)`"
"`Palaeo-latitude`...3",-0.0408455231598253,0.0172611753591177,-2.36632339977068,0.0179657432116394,1,"`Palaeo-latitude`"
"GrainsizeFine Grained...4",-0.675740406407559,0.24875323048076,-2.71650906845138,0.00659743877797617,1,"GrainsizeFine Grained"
"Latitude...5",0.101864524155556,0.018687890375651,5.45083057038254,5.01351174779816e-08,1,"Latitude"
"LithologySiliciclastic...6",-13.599648801128,446.448004628331,-0.0304618872973791,0.975698688796037,1,"LithologySiliciclastic"
"GrainsizeFine Grained:LithologySiliciclastic...7",14.4729653491607,446.448071388387,0.0324180263656465,0.974138687081981,1,"GrainsizeFine Grained:LithologySiliciclastic"
"(Intercept)...8",1.62562900023847,0.942674738191775,1.72448558805843,0.0846202184815606,2,"(Intercept)"
"`Age (Ma)`...9",-0.00720941185015125,0.00382031396372005,-1.88712548722856,0.0591434493593643,2,"`Age (Ma)`"
"`Palaeo-latitude`...10",0.0184621826121028,0.0115283194648155,1.60146348029733,0.109274302413941,2,"`Palaeo-latitude`"
"GrainsizeFine Grained...11",-0.957400853772107,0.14245267078727,-6.72083470587804,1.80686473878154e-11,2,"GrainsizeFine Grained"
"Latitude...12",0.0321382744632849,0.0104119733296697,3.08666507737823,0.00202415520386036,2,"Latitude"
"LithologySiliciclastic...13",-1.38090210686084,0.176505762154412,-7.82355255718387,5.13531021639892e-15,2,"LithologySiliciclastic"
"(Intercept)...14",-9.04980454774843,0.739550734060976,-12.2368948213393,1.97442780421607e-34,3,"(Intercept)"
"`Age (Ma)`...15",0.0231311186349967,0.00230201077312759,10.0482234510006,9.35384563279221e-24,3,"`Age (Ma)`"
"`Palaeo-latitude`...16",0.0474004269243744,0.0100170128485696,4.73199222572058,2.22326930210357e-06,3,"`Palaeo-latitude`"
"GrainsizeFine Grained...17",-0.71873934941944,0.198173607854219,-3.62681669472436,0.000286936838522877,3,"GrainsizeFine Grained"
"(Intercept)...18",-1.92676175378699,0.439162233519038,-4.38735757933397,1.14736074804007e-05,4,"(Intercept)"
"`Palaeo-latitude`...19",-0.0512043844114798,0.00815648949800236,-6.27774785022656,3.43512404932217e-10,4,"`Palaeo-latitude`"
"GrainsizeFine Grained...20",1.47866912592922,0.253694166015744,5.82854997870727,5.59110528471914e-09,4,"GrainsizeFine Grained"
"Latitude...21",-0.0304275369711536,0.0079162308820964,-3.84368993582153,0.000121198117343345,4,"Latitude"
"LithologySiliciclastic...22",2.52237143748407,0.717185702986126,3.5170408821338,0.000436386563933645,4,"LithologySiliciclastic"
"GrainsizeFine Grained:LithologySiliciclastic...23",-3.02889377004462,0.735849578449588,-4.11618605045124,3.8519340827278e-05,4,"GrainsizeFine Grained:LithologySiliciclastic"
"(Intercept)...24",-1.01773525405527,0.424031979148796,-2.40013797095746,0.0163888932826501,5,"(Intercept)"
"`Palaeo-latitude`...25",-0.0237457787402355,0.00702833669864666,-3.37857728768285,0.000728619483069128,5,"`Palaeo-latitude`"
"GrainsizeFine Grained...26",1.91785118670714,0.276534323184993,6.93530974606781,4.05332059704749e-12,5,"GrainsizeFine Grained"
"Latitude...27",-0.0497929276705287,0.00729589840980174,-6.82478358026943,8.80579642851114e-12,5,"Latitude"
"LithologySiliciclastic...28",0.776199582009012,0.126298519766173,6.1457535958937,7.9584748799389e-10,5,"LithologySiliciclastic"
